LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	,
Multi_Headings	No
X_Columns	One
Time_Pref	Absolute
Operator	DamianG�owienka
Date	2023/06/09
Time	13:01:43,8161287307739257812
***End_of_Header***	
	
Channels	3			
Samples	1	1	1	
Date	2023/06/09	2023/06/09	2023/06/09
Time	13:01:43,8161287307739257812	13:01:43,8161287307739257812	13:01:43,8161287307739257812
X_Dimension	Time	Time	Time	
X0	0,0000000000000000E+0	0,0000000000000000E+0	0,0000000000000000E+0	
Delta_X	1,000000	1,000000	1,000000	
***End_of_Header***				
X_Value	Voltage 1	Current 1	Power 1	Comment
0,000000	0,377375	0,002156	0,000814
0,417693	0,377375	0,002167	0,000818
1,417821	0,370375	0,002167	0,000803
2,417846	0,355563	0,002273	0,000808
3,418984	0,370437	0,002211	0,000819
4,418755	0,386813	0,002127	0,000823
5,417906	0,393500	0,002069	0,000814
6,418071	0,386688	0,002098	0,000811
7,417547	0,382750	0,002153	0,000824
8,417590	0,377312	0,002163	0,000816
9,418022	0,371812	0,002200	0,000818
10,417498	0,377375	0,002138	0,000807
11,419011	0,393250	0,002076	0,000816
12,417714	0,398625	0,002018	0,000804
13,417623	0,402250	0,002010	0,000809
14,417511	0,397062	0,002014	0,000800
15,418661	0,393375	0,002080	0,000818
16,417634	0,397188	0,002032	0,000807
17,418370	0,393313	0,002058	0,000809
18,417820	0,388188	0,002105	0,000817
19,417725	0,382750	0,002112	0,000809
20,417706	0,397313	0,002058	0,000818
21,417691	0,393500	0,002032	0,000800
22,417809	0,397188	0,002021	0,000803
23,417729	0,402500	0,001992	0,000802
24,417520	0,407813	0,001967	0,000802
25,417736	0,404000	0,001974	0,000798
26,417668	0,409187	0,001934	0,000791
27,417668	0,393375	0,002047	0,000805
28,418200	0,388188	0,002083	0,000809
29,418518	0,391875	0,002072	0,000812
30,417622	0,388250	0,002065	0,000802
31,417852	0,391937	0,002061	0,000808
32,417830	0,397125	0,002018	0,000801
33,417822	0,382750	0,002131	0,000816
34,417526	0,386562	0,002120	0,000819
35,417824	0,381125	0,002105	0,000802
36,417822	0,375875	0,002120	0,000797
37,418554	0,370188	0,002207	0,000817
0,000000	0,375625	0,002178	0,000818
0,969249	0,382563	0,002105	0,000805
1,969376	0,386437	0,002091	0,000808
2,969376	0,393250	0,002065	0,000812
3,969654	0,377188	0,002178	0,000822
4,969207	0,371875	0,002160	0,000803
5,969098	0,386562	0,002083	0,000805
6,969329	0,382688	0,002112	0,000808
7,969450	0,397125	0,002058	0,000817
8,970033	0,391813	0,002091	0,000819
9,969222	0,377312	0,002138	0,000807
10,969646	0,371937	0,002167	0,000806
11,969166	0,375688	0,002167	0,000814
12,970376	0,371688	0,002185	0,000812
13,969265	0,366187	0,002222	0,000814
14,969402	0,359125	0,002229	0,000800
15,970319	0,343813	0,002331	0,000801
16,969408	0,347875	0,002280	0,000793
17,969404	0,332437	0,002360	0,000785
18,969643	0,347813	0,002298	0,000799
19,969322	0,342250	0,002295	0,000785
20,969165	0,336438	0,002324	0,000782
21,969462	0,342125	0,002320	0,000794
22,969205	0,347687	0,002295	0,000798
23,969193	0,364375	0,002196	0,000800
24,969314	0,369875	0,002193	0,000811
25,970805	0,375188	0,002116	0,000794
26,969138	0,380563	0,002127	0,000809
27,970234	0,385937	0,002094	0,000808
28,970787	0,391188	0,002043	0,000799
29,969648	0,385937	0,002094	0,000808
30,970521	0,391188	0,002069	0,000809
31,969344	0,387375	0,002032	0,000787
32,969386	NaN	NaN	0,000000
0,000000	0,397750	0,001985	0,000790
0,969643	0,392562	0,002003	0,000786
1,969785	NaN	NaN	0,000000
0,000000	0,402875	0,001934	0,000779
0,980075	0,387375	0,002051	0,000794
1,978432	0,371125	0,002167	0,000804
2,978501	0,354750	0,002233	0,000792
3,978475	0,360187	0,002196	0,000791
4,978376	0,375063	0,002116	0,000794
5,979185	0,371188	0,002149	0,000798
6,978874	0,385750	0,002036	0,000785
7,978397	0,371063	0,002134	0,000792
8,978575	0,365500	0,002127	0,000777
9,978167	0,371063	0,002156	0,000800
10,978627	0,365812	0,002189	0,000801
11,979255	0,360125	0,002233	0,000804
12,978548	0,354812	0,002244	0,000796
13,979350	0,360125	0,002211	0,000796
14,978343	0,354750	0,002236	0,000793
15,978497	0,369625	0,002163	0,000800
16,978551	0,376625	0,002131	0,000802
17,978415	0,371000	0,002189	0,000812
18,978435	0,376500	0,002094	0,000788
19,978421	0,391000	0,002021	0,000790
20,978321	0,375063	0,002156	0,000809
21,979592	0,371063	0,002193	0,000814
22,978477	0,365500	0,002200	0,000804
23,978325	0,358563	0,002251	0,000807
24,979486	0,364000	0,002182	0,000794
25,979939	0,360125	0,002225	0,000801
26,979566	0,354750	0,002273	0,000806
27,978263	0,369437	0,002174	0,000803
28,979658	0,385813	0,002065	0,000797
29,979978	0,391062	0,002036	0,000796
30,978320	0,385813	0,002109	0,000814
31,978428	0,371125	0,002163	0,000803
32,978375	0,354875	0,002255	0,000800
33,978469	0,349187	0,002284	0,000797
34,978289	0,354687	0,002211	0,000784
35,978390	0,349125	0,002287	0,000799
36,978377	0,353187	0,002255	0,000796
37,978615	0,360125	0,002236	0,000805
38,978229	0,354750	0,002262	0,000802
39,979272	0,360187	0,002225	0,000802
40,978578	0,364250	0,002160	0,000787
41,978890	0,349313	0,002276	0,000795
42,978776	0,353375	0,002287	0,000808
43,978773	0,360438	0,002247	0,000810
44,978771	0,364500	0,002204	0,000803
45,978345	0,360500	0,002229	0,000804
46,978538	0,364563	0,002207	0,000805
47,978333	0,369937	0,002182	0,000807
48,979639	0,366125	0,002218	0,000812
49,978428	0,371688	0,002189	0,000814
50,978758	0,366125	0,002214	0,000811
51,987766	0,380937	0,002102	0,000801
52,978425	0,366250	0,002240	0,000820
53,981471	0,371625	0,002182	0,000811
54,987319	0,355125	0,002236	0,000794
55,993357	0,371750	0,002196	0,000816
56,985198	0,355250	0,002240	0,000796
57,991968	0,349438	0,002291	0,000801
58,993373	0,364687	0,002204	0,000804
59,983239	0,380688	0,002098	0,000799
60,992191	0,375437	0,002127	0,000799
61,986067	0,360625	0,002302	0,000830
62,978431	0,353500	0,002298	0,000812
63,991762	0,359000	0,002218	0,000796
64,989915	0,354875	0,002273	0,000807
65,978431	0,360438	0,002247	0,000810
66,983509	0,343750	0,002295	0,000789
67,988876	0,369812	0,002207	0,000816
68,985403	0,376875	0,002134	0,000804
69,991584	0,380625	0,002112	0,000804
70,980190	0,396562	0,002036	0,000807
71,981568	0,403062	0,001967	0,000793
72,986245	0,397813	0,001985	0,000790
73,989466	0,392688	0,002051	0,000805
74,992611	0,386000	0,002083	0,000804
75,978502	0,392688	0,002040	0,000801
76,978417	0,396500	0,002007	0,000796
